id,position,abs_663,abs_630,abs_750,abs_470,abs_646,blank_corrected_abs_663,blank_corrected_abs_630,blank_corrected_abs_750,blank_corrected_abs_470,blank_corrected_abs_646
BLK,A1,0.065,0.065,0.066,0.064,0.065,-0.000,0.000,-0.000,0.000,0.000
,A2,0.065,0.065,0.066,0.064,0.065,0.000,-0.000,0.000,0.000,-0.000
SPL1,A3,0.205,0.096,0.065,0.294,0.101,0.140,0.031,-0.001,0.230,0.036
,A4,0.204,0.096,0.065,0.294,0.101,0.139,0.031,-0.001,0.230,0.037
SPL2,A5,0.895,0.229,0.060,1.452,0.270,0.830,0.164,-0.006,1.389,0.205
,A6,0.894,0.228,0.060,1.452,0.270,0.829,0.163,-0.006,1.388,0.205
SPL3,A7,0.882,0.235,0.060,1.428,0.266,0.817,0.170,-0.005,1.364,0.201
,A8,0.880,0.234,0.060,1.428,0.267,0.816,0.170,-0.006,1.364,0.202
SPL4,A9,,,,,,?????,?????,?????,?????,?????
,A10,,,,,,?????,?????,?????,?????,?????
SPL5,A11,,,,,,?????,?????,?????,?????,?????
,A12,,,,,,?????,?????,?????,?????,?????
SPL6,B1,,,,,,?????,?????,?????,?????,?????
,B2,,,,,,?????,?????,?????,?????,?????
SPL7,B3,,,,,,?????,?????,?????,?????,?????
,B4,,,,,,?????,?????,?????,?????,?????
SPL8,B5,,,,,,?????,?????,?????,?????,?????
,B6,,,,,,?????,?????,?????,?????,?????
SPL9,B7,,,,,,?????,?????,?????,?????,?????
,B8,,,,,,?????,?????,?????,?????,?????
SPL10,B9,,,,,,?????,?????,?????,?????,?????
,B10,,,,,,?????,?????,?????,?????,?????
BLK,B11,,,,,,?????,?????,?????,?????,?????
,B12,,,,,,?????,?????,?????,?????,?????
SPL11,C1,,,,,,?????,?????,?????,?????,?????
,C2,,,,,,?????,?????,?????,?????,?????
SPL12,C3,,,,,,?????,?????,?????,?????,?????
,C4,,,,,,?????,?????,?????,?????,?????
SPL13,C5,,,,,,?????,?????,?????,?????,?????
,C6,,,,,,?????,?????,?????,?????,?????
SPL14,C7,,,,,,?????,?????,?????,?????,?????
,C8,,,,,,?????,?????,?????,?????,?????
SPL15,C9,,,,,,?????,?????,?????,?????,?????
,C10,,,,,,?????,?????,?????,?????,?????
SPL16,C11,,,,,,?????,?????,?????,?????,?????
,C12,,,,,,?????,?????,?????,?????,?????
SPL17,D1,,,,,,?????,?????,?????,?????,?????
,D2,,,,,,?????,?????,?????,?????,?????
SPL18,D3,,,,,,?????,?????,?????,?????,?????
,D4,,,,,,?????,?????,?????,?????,?????
SPL19,D5,,,,,,?????,?????,?????,?????,?????
,D6,,,,,,?????,?????,?????,?????,?????
SPL20,D7,,,,,,?????,?????,?????,?????,?????
,D8,,,,,,?????,?????,?????,?????,?????
BLK,D9,,,,,,?????,?????,?????,?????,?????
,D10,,,,,,?????,?????,?????,?????,?????
SPL21,D11,,,,,,?????,?????,?????,?????,?????
,D12,,,,,,?????,?????,?????,?????,?????
SPL22,E1,,,,,,?????,?????,?????,?????,?????
,E2,,,,,,?????,?????,?????,?????,?????
SPL23,E3,,,,,,?????,?????,?????,?????,?????
,E4,,,,,,?????,?????,?????,?????,?????
SPL24,E5,,,,,,?????,?????,?????,?????,?????
,E6,,,,,,?????,?????,?????,?????,?????
SPL25,E7,,,,,,?????,?????,?????,?????,?????
,E8,,,,,,?????,?????,?????,?????,?????
SPL26,E9,,,,,,?????,?????,?????,?????,?????
,E10,,,,,,?????,?????,?????,?????,?????
SPL27,E11,,,,,,?????,?????,?????,?????,?????
,E12,,,,,,?????,?????,?????,?????,?????
SPL28,F1,,,,,,?????,?????,?????,?????,?????
,F2,,,,,,?????,?????,?????,?????,?????
SPL29,F3,,,,,,?????,?????,?????,?????,?????
,F4,,,,,,?????,?????,?????,?????,?????
SPL30,F5,,,,,,?????,?????,?????,?????,?????
,F6,,,,,,?????,?????,?????,?????,?????
BLK,F7,,,,,,?????,?????,?????,?????,?????
,F8,,,,,,?????,?????,?????,?????,?????
SPL31,F9,,,,,,?????,?????,?????,?????,?????
,F10,,,,,,?????,?????,?????,?????,?????
SPL32,F11,,,,,,?????,?????,?????,?????,?????
,F12,,,,,,?????,?????,?????,?????,?????
SPL33,G1,,,,,,?????,?????,?????,?????,?????
,G2,,,,,,?????,?????,?????,?????,?????
SPL34,G3,,,,,,?????,?????,?????,?????,?????
,G4,,,,,,?????,?????,?????,?????,?????
SPL35,G5,,,,,,?????,?????,?????,?????,?????
,G6,,,,,,?????,?????,?????,?????,?????
SPL36,G7,,,,,,?????,?????,?????,?????,?????
,G8,,,,,,?????,?????,?????,?????,?????
SPL37,G9,,,,,,?????,?????,?????,?????,?????
,G10,,,,,,?????,?????,?????,?????,?????
SPL38,G11,,,,,,?????,?????,?????,?????,?????
,G12,,,,,,?????,?????,?????,?????,?????
SPL39,H1,,,,,,?????,?????,?????,?????,?????
,H2,,,,,,?????,?????,?????,?????,?????
SPL40,H3,,,,,,?????,?????,?????,?????,?????
,H4,,,,,,?????,?????,?????,?????,?????
BLK,H5,,,,,,?????,?????,?????,?????,?????
,H6,,,,,,?????,?????,?????,?????,?????
SPL41,H7,,,,,,?????,?????,?????,?????,?????
,H8,,,,,,?????,?????,?????,?????,?????
SPL42,H9,,,,,,?????,?????,?????,?????,?????
,H10,,,,,,?????,?????,?????,?????,?????
SPL43,H11,,,,,,?????,?????,?????,?????,?????
,H12,,,,,,?????,?????,?????,?????,?????

